position_x,position_y,task_type,wifi_rssi,wifi_snr,wifi_bandwidth,wifi_latency,wifi_distance,5g_rssi,5g_snr,5g_bandwidth,5g_latency,5g_distance,ble_rssi,ble_snr,ble_bandwidth,ble_latency,ble_distance,optimal_network
660,0,0,-999.0,-999.0,0.0,9999,9999.0,-78.4,21.6,200.0,10,260.0,-999.0,-999.0,0.0,9999,9999.0,1
670,0,1,-999.0,-999.0,0.0,9999,9999.0,-77.4,22.6,200.0,10,344.81879299133334,-999.0,-999.0,0.0,9999,9999.0,1
680,0,0,-999.0,-999.0,0.0,9999,9999.0,-72.2,27.8,200.0,10,241.66091947189145,-999.0,-999.0,0.0,9999,9999.0,1
690,0,1,-999.0,-999.0,0.0,9999,9999.0,-73.3,26.7,200.0,10,232.59406699226014,-999.0,-999.0,0.0,9999,9999.0,1
700,0,0,-999.0,-999.0,0.0,9999,9999.0,-72.0,28.0,200.0,10,223.60679774997897,-999.0,-999.0,0.0,9999,9999.0,1
710,0,1,-999.0,-999.0,0.0,9999,9999.0,-69.6,30.4,200.0,10,214.7091055358389,-999.0,-999.0,0.0,9999,9999.0,1
720,0,0,-999.0,-999.0,0.0,9999,9999.0,-71.0,29.0,200.0,10,205.91260281974002,-999.0,-999.0,0.0,9999,9999.0,1
730,0,1,-999.0,-999.0,0.0,9999,9999.0,-60.9,39.1,200.0,10,197.2308292331602,-999.0,-999.0,0.0,9999,9999.0,1
740,0,0,-999.0,-999.0,0.0,9999,9999.0,-67.8,32.2,200.0,10,188.67962264113208,-999.0,-999.0,0.0,9999,9999.0,1
750,0,0,-999.0,-999.0,0.0,9999,9999.0,-71.2,28.8,200.0,10,180.27756377319946,-999.0,-999.0,0.0,9999,9999.0,1
760,0,0,-999.0,-999.0,0.0,9999,9999.0,-72.1,27.9,200.0,10,172.04650534085255,-999.0,-999.0,0.0,9999,9999.0,1
770,0,0,-999.0,-999.0,0.0,9999,9999.0,-69.6,30.4,200.0,10,403.6087214122113,-999.0,-999.0,0.0,9999,9999.0,1
780,0,1,-999.0,-999.0,0.0,9999,9999.0,-64.9,35.1,200.0,10,156.20499351813308,-999.0,-999.0,0.0,9999,9999.0,1
790,0,0,-999.0,-999.0,0.0,9999,9999.0,-70.7,29.3,200.0,10,148.66068747318505,-999.0,-999.0,0.0,9999,9999.0,1
800,0,0,-999.0,-999.0,0.0,9999,9999.0,-65.6,34.4,200.0,10,141.4213562373095,-999.0,-999.0,0.0,9999,9999.0,1
810,0,1,-999.0,-999.0,0.0,9999,9999.0,-70.4,29.6,200.0,10,134.5362404707371,-999.0,-999.0,0.0,9999,9999.0,1
820,0,0,-999.0,-999.0,0.0,9999,9999.0,-71.3,28.7,200.0,10,128.06248474865697,-999.0,-999.0,0.0,9999,9999.0,1
830,0,0,-999.0,-999.0,0.0,9999,9999.0,-64.8,35.2,200.0,10,122.06555615733703,-999.0,-999.0,0.0,9999,9999.0,1
840,0,1,-999.0,-999.0,0.0,9999,9999.0,-63.1,36.9,200.0,10,116.61903789690601,-999.0,-999.0,0.0,9999,9999.0,1
850,0,0,-999.0,-999.0,0.0,9999,9999.0,-67.1,32.9,200.0,10,111.80339887498948,-999.0,-999.0,0.0,9999,9999.0,1
860,0,2,-999.0,-999.0,0.0,9999,9999.0,-57.5,42.5,200.0,10,107.70329614269008,-999.0,-999.0,0.0,9999,9999.0,1
870,0,0,-999.0,-999.0,0.0,9999,9999.0,-60.7,39.3,200.0,10,104.4030650891055,-999.0,-999.0,0.0,9999,9999.0,1
880,0,1,-999.0,-999.0,0.0,9999,9999.0,-60.5,39.5,200.0,10,101.9803902718557,-999.0,-999.0,0.0,9999,9999.0,1
890,0,0,-999.0,-999.0,0.0,9999,9999.0,-66.1,33.9,200.0,10,100.4987562112089,-999.0,-999.0,0.0,9999,9999.0,1
900,0,1,-999.0,-999.0,0.0,9999,9999.0,-55.8,44.2,200.0,10,100.0,-999.0,-999.0,0.0,9999,9999.0,1
910,0,0,-999.0,-999.0,0.0,9999,9999.0,-56.2,43.8,200.0,10,100.4987562112089,-999.0,-999.0,0.0,9999,9999.0,1
920,0,0,-999.0,-999.0,0.0,9999,9999.0,-62.2,37.8,200.0,10,101.9803902718557,-999.0,-999.0,0.0,9999,9999.0,1
930,0,1,-999.0,-999.0,0.0,9999,9999.0,-65.3,34.7,200.0,10,104.4030650891055,-999.0,-999.0,0.0,9999,9999.0,1
940,0,1,-999.0,-999.0,0.0,9999,9999.0,-59.4,40.6,200.0,10,107.70329614269008,-999.0,-999.0,0.0,9999,9999.0,1
950,0,1,-999.0,-999.0,0.0,9999,9999.0,-66.0,34.0,200.0,10,111.80339887498948,-999.0,-999.0,0.0,9999,9999.0,1
960,0,1,-999.0,-999.0,0.0,9999,9999.0,-59.0,41.0,200.0,10,116.61903789690601,-999.0,-999.0,0.0,9999,9999.0,1
970,0,0,-999.0,-999.0,0.0,9999,9999.0,-59.4,40.6,200.0,10,122.06555615733703,-999.0,-999.0,0.0,9999,9999.0,1
980,0,0,-999.0,-999.0,0.0,9999,9999.0,-62.8,37.2,200.0,10,128.06248474865697,-999.0,-999.0,0.0,9999,9999.0,1
990,0,1,-999.0,-999.0,0.0,9999,9999.0,-66.3,33.7,200.0,10,134.5362404707371,-999.0,-999.0,0.0,9999,9999.0,1
990,10,0,-999.0,-999.0,0.0,9999,9999.0,-65.7,34.3,200.0,10,127.27922061357856,-999.0,-999.0,0.0,9999,9999.0,1
990,20,1,-999.0,-999.0,0.0,9999,9999.0,-68.1,31.9,200.0,10,120.41594578792295,-999.0,-999.0,0.0,9999,9999.0,1
990,30,2,-999.0,-999.0,0.0,9999,9999.0,-60.1,39.9,200.0,10,114.0175425099138,-999.0,-999.0,0.0,9999,9999.0,1
990,40,2,-999.0,-999.0,0.0,9999,9999.0,-65.5,34.5,200.0,10,108.16653826391968,-999.0,-999.0,0.0,9999,9999.0,1
990,50,1,-999.0,-999.0,0.0,9999,9999.0,-57.9,42.1,200.0,10,102.95630140987001,-999.0,-999.0,0.0,9999,9999.0,1
990,60,1,-999.0,-999.0,0.0,9999,9999.0,-61.7,38.3,200.0,10,98.48857801796105,-999.0,-999.0,0.0,9999,9999.0,1
990,70,0,-999.0,-999.0,0.0,9999,9999.0,-68.0,32.0,200.0,10,94.86832980505137,-999.0,-999.0,0.0,9999,9999.0,1
990,80,1,-999.0,-999.0,0.0,9999,9999.0,-60.3,39.7,200.0,10,92.19544457292888,-999.0,-999.0,0.0,9999,9999.0,1
990,90,0,-999.0,-999.0,0.0,9999,9999.0,-62.2,37.8,200.0,10,90.55385138137417,-999.0,-999.0,0.0,9999,9999.0,1
990,100,0,-999.0,-999.0,0.0,9999,9999.0,-55.2,44.8,200.0,10,90.0,-999.0,-999.0,0.0,9999,9999.0,1
990,110,0,-999.0,-999.0,0.0,9999,9999.0,-58.7,41.3,200.0,10,90.55385138137417,-999.0,-999.0,0.0,9999,9999.0,1
990,120,0,-999.0,-999.0,0.0,9999,9999.0,-59.8,40.2,200.0,10,92.19544457292888,-999.0,-999.0,0.0,9999,9999.0,1
990,130,0,-999.0,-999.0,0.0,9999,9999.0,-58.4,41.6,200.0,10,94.86832980505137,-999.0,-999.0,0.0,9999,9999.0,1
990,140,2,-999.0,-999.0,0.0,9999,9999.0,-58.0,42.0,200.0,10,98.48857801796105,-999.0,-999.0,0.0,9999,9999.0,1
990,150,1,-999.0,-999.0,0.0,9999,9999.0,-61.6,38.4,200.0,10,102.95630140987001,-999.0,-999.0,0.0,9999,9999.0,1
990,160,2,-999.0,-999.0,0.0,9999,9999.0,-59.0,41.0,200.0,10,108.16653826391968,-999.0,-999.0,0.0,9999,9999.0,1
990,170,0,-999.0,-999.0,0.0,9999,9999.0,-66.5,33.5,200.0,10,114.0175425099138,-999.0,-999.0,0.0,9999,9999.0,1
990,180,0,-999.0,-999.0,0.0,9999,9999.0,-65.2,34.8,200.0,10,120.41594578792295,-999.0,-999.0,0.0,9999,9999.0,1
990,190,0,-999.0,-999.0,0.0,9999,9999.0,-60.6,39.4,200.0,10,127.27922061357856,-999.0,-999.0,0.0,9999,9999.0,1
990,200,1,-999.0,-999.0,0.0,9999,9999.0,-62.3,37.7,200.0,10,134.5362404707371,-999.0,-999.0,0.0,9999,9999.0,1
990,210,0,-999.0,-999.0,0.0,9999,9999.0,-66.3,33.7,200.0,10,142.12670403551894,-999.0,-999.0,0.0,9999,9999.0,1
990,220,0,-999.0,-999.0,0.0,9999,9999.0,-65.5,34.5,200.0,10,150.0,-999.0,-999.0,0.0,9999,9999.0,1
